Madár_id;Felhasználó;Típus;Központ;Gyûrû;Jelentett faj;Jelentett faj latin;Ivar;Dátum
5686648;Példa Laci;Visszafogás;Budapest;P103413   ;Nádi tücsökmadár;Locustella luscinioides;Ismeretlen;2019.08.21
5686916;Példa Laci;Visszafogás;Budapest;P103681   ;Nádi sármány;Emberiza schoeniclus;Hím;2019.08.20
5686994;Példa Laci;Visszafogás;Budapest;P103759   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.08.18
5687635;Példa Laci;Visszafogás;Budapest;P104400   ;Nádi sármány;Emberiza schoeniclus;Hím;2019.08.19
5688148;Példa Laci;Visszafogás;Budapest;P104919   ;Nádi sármány;Emberiza schoeniclus;Hím;2019.08.21
5851656;Példa Laci;Visszafogás;Budapest;P105538   ;Barátposzáta;Sylvia atricapilla;Tojó;2019.08.18
5851756;Példa Laci;Visszafogás;Budapest;P105592   ;Kék cinege;Parus caeruleus;Hím;2019.08.19
5850342;Példa Laci;Visszafogás;Budapest;P105606   ;Kék cinege;Parus caeruleus;Tojó;2019.08.22
5908350;Példa Laci;Visszafogás;Budapest;P105933   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Tojó;2019.08.19
5908355;Példa Laci;Visszafogás;Budapest;P105938   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.08.17
5908358;Példa Laci;Visszafogás;Budapest;P105941   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.08.17
5908374;Példa Laci;Visszafogás;Budapest;P105957   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.08.18
5908374;Példa Laci;Visszafogás;Budapest;P105957   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.08.20
5908451;Példa Laci;Visszafogás;Budapest;P106034   ;Nádi tücsökmadár;Locustella luscinioides;Ismeretlen;2019.08.17
5908451;Példa Laci;Visszafogás;Budapest;P106034   ;Nádi tücsökmadár;Locustella luscinioides;Ismeretlen;2019.08.22
5908451;Példa Laci;Visszafogás;Budapest;P106034   ;Nádi tücsökmadár;Locustella luscinioides;Ismeretlen;2019.08.25
5908495;Példa Laci;Visszafogás;Budapest;P106078   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.08.17
5908529;Példa Laci;Visszafogás;Budapest;P106112   ;Kék cinege;Parus caeruleus;Hím;2019.08.20
5908594;Példa Laci;Visszafogás;Budapest;P106177   ;Barátposzáta;Sylvia atricapilla;Tojó;2019.08.22
5908654;Példa Laci;Visszafogás;Budapest;P106237   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.08.18
5908700;Példa Laci;Visszafogás;Budapest;P106283   ;Fülemülesitke;Acrocephalus melanopogon;Ismeretlen;2019.08.20
